Pos,Team Team,Pl Played,W Won,D Drawn,L Lost,F Goals For,A Goals Against,GD Goal Difference,Pts Points
1,Arsenal,7,5,1,1,14,3,11,16
2,Liverpool,7,5,0,2,13,9,4,15
3,Tottenham Hotspur,7,4,2,1,13,5,8,14
4,Bournemouth,7,4,2,1,11,8,3,14
5,Manchester City,7,4,1,2,15,6,9,13
6,Crystal Palace,7,3,3,1,9,5,4,12
7,Chelsea,7,3,2,2,13,9,4,11
8,Everton,7,3,2,2,9,7,2,11
9,Sunderland,7,3,2,2,7,6,1,11
10,Manchester United,7,3,1,3,9,11,-2,10
11,Newcastle United,7,2,3,2,6,5,1,9
12,Brighton and Hove Albion,7,2,3,2,10,10,0,9
13,Aston Villa,7,2,3,2,6,7,-1,9
14,Fulham,7,2,2,3,8,11,-3,8
15,Leeds United,7,2,2,3,7,11,-4,8
16,Brentford,7,2,1,4,9,12,-3,7
17,Nottingham Forest,7,1,2,4,5,12,-7,5
18,Burnley,7,1,1,5,7,15,-8,4
19,West Ham United,7,1,1,5,6,16,-10,4
20,Wolverhampton Wanderers,7,0,2,5,5,14,-9,2
